customer_id,name_surname,age,gender,email,phone,account_type,balance,branch,credit_rating,is_active,last_transaction_date,monthly_income,credit_eligible,country,account_creation_date,tenure,num_of_products,has_credit_card,is_active_member,estimated_salary,churn
MST00000,Şəbnəm Mürsəlova,68,Qadın,şəbnəm.mürsəlova77@gmail.com,+994559628459,Depozit,19091.12,Gəncə,835,False,2024-12-18,6638.06,True,Azərbaycan,2017-07-05,8,2,1,0,16819.5,0
MST00001,Elnur Əliyev,20,Kişi,elnur.əliyev82@gmail.com,+994507213659,Depozit,23188.34,Zaqatala,680,False,2025-01-26,9984.26,False,Azərbaycan,2023-05-01,2,2,1,0,17785.62,1
MST00002,Kəmalə Mürsəlova,26,Qadın,kəmalə.mürsəlova86@gmail.com,+994514956246,Depozit,14717.23,Mingəçevir,348,False,2024-10-17,9906.09,False,Azərbaycan,2018-08-21,7,3,1,0,8226.9,1
MST00003,Ülviyyə Orucova,67,Qadın,ülviyyə.orucova82@gmail.com,+994541336014,Əmanət,1982.79,Mingəçevir,572,False,2024-08-28,807.34,False,Azərbaycan,2022-12-17,3,3,1,0,7920.16,0
MST00004,Kəmalə İsmayılova,39,Qadın,kəmalə.i̇smayılova28@gmail.com,+994525011797,Biznes,10506.72,Zaqatala,368,True,2024-11-23,8277.26,False,Azərbaycan,2019-02-02,6,3,0,1,13253.36,0
MST00005,Cavid Mürsəlov,54,Kişi,cavid.mürsəlov39@gmail.com,+994549427123,Depozit,6141.55,Şəki,602,True,2024-10-31,8996.15,False,Azərbaycan,2022-01-25,3,2,1,1,9683.27,0
MST00006,Kənan Əliyev,58,Kişi,kənan.əliyev25@gmail.com,+994548433416,Cari,1174.61,Bakı,586,True,2024-09-12,701.13,False,Azərbaycan,2016-09-04,9,2,0,1,3190.53,0
MST00007,Kəmalə Ələkbərova,60,Qadın,kəmalə.ələkbərova8@gmail.com,+994553477357,Əmanət,2991.71,Lənkəran,536,False,2024-08-06,1700.3,False,Azərbaycan,2016-11-14,9,2,1,0,15937.57,0
MST00008,Tural Vəliyev,64,Kişi,tural.vəliyev86@gmail.com,+994557817634,Əmanət,4551.36,Gəncə,607,True,2025-01-08,1529.93,False,Azərbaycan,2015-11-13,10,3,1,1,13878.34,0
MST00009,Zəhra Məmmədova,67,Qadın,zəhra.məmmədova21@gmail.com,+994558992092,Cari,3655.81,Quba,616,True,2024-12-19,1449.87,False,Azərbaycan,2017-06-04,8,3,0,1,13512.25,0
MST00010,Şahin Bədəlov,73,Kişi,şahin.bədəlov33@gmail.com,+994555101127,Cari,5475.68,Quba,544,False,2024-06-09,3629.88,False,Azərbaycan,2015-09-22,10,3,1,0,18952.79,1
MST00011,Tural Quliyev,36,Kişi,tural.quliyev76@gmail.com,+994545390751,Cari,832.3,Bakı,779,True,2025-01-01,523.93,False,Azərbaycan,2017-07-12,8,2,0,1,15981.79,0
MST00012,Nigar Ələkbərova,65,Qadın,nigar.ələkbərova12@gmail.com,+994548116260,Biznes,28326.77,Lənkəran,421,False,2025-04-23,7868.65,False,Azərbaycan,2017-02-27,8,4,0,0,3162.88,0
MST00013,Ülviyyə Axundova,33,Qadın,ülviyyə.axundova40@gmail.com,+994509560917,Biznes,5670.53,Zaqatala,663,True,2025-02-08,7314.64,True,Azərbaycan,2023-09-21,2,1,1,1,16546.0,0
MST00014,Gülşən Rzayeva,46,Qadın,gülşən.rzayeva98@gmail.com,+994503819099,Biznes,14254.58,Qax,468,False,2024-06-04,9113.95,False,Azərbaycan,2024-11-10,1,1,1,0,1161.53,1
MST00015,Ləman Bədəlova,34,Qadın,ləman.bədəlova17@gmail.com,+994534283864,Əmanət,1862.12,Sumqayıt,692,False,2024-11-11,2334.23,True,Azərbaycan,2020-07-20,5,3,0,0,9366.55,0
MST00016,Səbinə Qasımova,27,Qadın,səbinə.qasımova39@gmail.com,+994547309537,Cari,3693.13,Sumqayıt,334,True,2024-10-25,3320.57,False,Azərbaycan,2016-08-27,9,4,1,1,16671.56,0
MST00017,Kamran Əliyev,59,Kişi,kamran.əliyev3@gmail.com,+994503915868,Depozit,4029.6,Bakı,685,True,2024-11-02,5443.05,True,Azərbaycan,2025-08-06,0,1,1,1,10669.64,0
MST00018,Aytən Cəfərova,64,Qadın,aytən.cəfərova5@gmail.com,+994517077911,Cari,1034.47,Şəki,415,False,2024-06-17,1293.58,False,Azərbaycan,2024-09-08,1,1,0,0,3665.16,1
MST00019,Aytən Ələkbərova,24,Qadın,aytən.ələkbərova50@gmail.com,+994528508366,Depozit,12575.64,Şəki,849,False,2024-08-31,9750.57,True,Azərbaycan,2019-09-28,6,3,1,0,5254.9,0
MST00020,Aysel Orucova,74,Qadın,aysel.orucova23@gmail.com,+994504954574,Biznes,25730.95,Qax,392,True,2025-05-15,9465.93,False,Azərbaycan,2021-03-05,4,3,1,1,7878.61,0
MST00021,Kamran Mahmudov,49,Kişi,kamran.mahmudov42@gmail.com,+994555983348,Əmanət,14465.93,Qax,796,False,2024-08-16,4517.66,True,Azərbaycan,2016-08-17,9,2,1,0,7048.33,0
MST00022,Günay Axundova,36,Qadın,günay.axundova30@gmail.com,+994545142400,Biznes,5567.27,Qusar,481,True,2024-12-10,6775.8,False,Azərbaycan,2022-06-20,3,2,0,1,4880.83,0
MST00023,Orxan Vəliyev,41,Kişi,orxan.vəliyev75@gmail.com,+994517641320,Əmanət,2098.49,Mingəçevir,541,True,2025-05-02,1850.58,False,Azərbaycan,2023-10-26,2,3,1,1,4876.6,0
